,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,id
85,anthem worship,0.2181911333131216,0.4767769156004677,286369.1904820326,0.608537018741372,0.0101615321648886,0.2161028401488568,-7.266430747807041,0.0508676920424414,120.5522392280118,0.3274206704101335,52.19920086643933,11,1,85
86,anti-folk,0.4199248992979357,0.502156507088115,230398.86720701773,0.5468588517304099,0.1218122458774365,0.188076747845047,-9.67737775596901,0.0563461761318979,119.55060790808248,0.4989252976778864,43.423615295538,9,1,86
87,antilliaanse folklore,0.9305,0.578,176373.5,0.6635,0.43515,0.09305,-12.53,0.06095,146.36049999999997,0.942,0.0,3,1,87
88,antiviral pop,0.1739474682719082,0.6351263016263015,201968.43857493857,0.7202116707616709,0.0163587276890136,0.2126605294255294,-6.953785845910846,0.1102304115479115,130.28318356148358,0.6261972885222886,53.2747425997426,2,1,88
89,appalachian folk,0.78306602298448,0.5441354298451452,187810.48726431068,0.3274548613318893,0.1139977356831383,0.1844965923272275,-13.57824966491604,0.0588144995344284,121.83480086260676,0.6513979114778606,19.32741751849972,9,1,89
90,arab folk,0.8643603449028645,0.4178516784172252,379430.1314333327,0.274994951064648,0.322252613859759,0.2754043215421674,-15.10740234683581,0.0602632892469848,105.15583656921568,0.4765230724869723,20.361626296408904,5,1,90
91,arab groove,0.952,0.291,207560.0,0.231,0.382,0.237,-18.808,0.0418,157.168,0.371,38.0,9,1,91
92,arab pop,0.5171955621301774,0.5588895463510849,334352.9950690335,0.516269033530572,0.0376877393096646,0.1818705128205128,-10.216090729783035,0.0596806706114398,126.4876439842209,0.5820246548323472,36.941814595660745,9,0,92
93,arab trap,0.0527,0.752,146945.0,0.905,0.000242,0.173,-7.072,0.0515,97.993,0.6890000000000001,73.0,0,1,93
94,arabesk,0.317,0.353,269640.0,0.672,3.05e-05,0.0962,-5.795,0.04,168.299,0.523,47.0,8,1,94
95,arabic hip hop,0.8270000000000002,0.366,410777.0,0.431,0.0,0.3225,-4.578,0.0369,111.0905,0.416,7.0,10,1,95
96,arabic jazz,0.953,0.3875,382513.5,0.1655,0.1911255,0.1755,-19.238,0.0458999999999999,127.1375,0.3735,37.5,9,1,96
97,argentine ambient,0.8301999999999999,0.4901999999999999,163663.8,0.373476,0.624,0.124,-15.3516,0.0377,131.83679999999998,0.3174,55.6,4,0,97
98,argentine hardcore,0.01081,0.69,239713.5,0.6535,0.01150665,0.3725999999999999,-9.742,0.05555,109.5345,0.655,45.5,6,1,98
99,argentine heavy metal,0.0507899999999999,0.58075,316772.875,0.7926249999999999,0.08168275,0.158825,-6.146624999999999,0.1279375,145.01825000000002,0.5053749999999999,52.0,11,1,99
100,argentine hip hop,0.32533,0.7825,289224.8,0.6359500000000001,0.0005759405,0.11639,-5.5075,0.1636633333333333,140.0963,0.5545666666666668,70.58333333333333,11,1,100
